,recp_id,zinc_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm,pair_chains_iptm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2
0,0,ZINCpA000000ELTE,0.949051,0.9515679,0.9565055,0.9565055,0,0.9471874,0.91127396,0.3247647,0.5072515,[0.9536791 0.9266864],"[array([0.9536791 , 0.63161904], dtype=float32)
 array([0.9565055, 0.9266864], dtype=float32)]",0.1944423,0.25829315,-0.46021092,0.24530843,0.8490955,0.2712779
1,0,ZINCpz0000008s0S,0.94564956,0.9566737,0.94988513,0.94988513,0,0.9445907,0.8948004,0.33181092,0.5437943,[0.95914775 0.9203141 ],"[array([0.95914775, 0.6508816 ], dtype=float32)
 array([0.94988513, 0.9203141 ], dtype=float32)]",-0.24455813,0.7396877,-0.6932157,0.76313406,0.20409948,0.71624136
2,0,ZINCkt000000wVLO,0.9537412,0.9614981,0.9647972,0.9647972,0,0.9509772,0.9089018,0.3092734,0.44168565,[0.96169525 0.8887428 ],"[array([0.96169525, 0.5667199 ], dtype=float32)
 array([0.9647972, 0.8887428], dtype=float32)]",-0.27831456,0.66409516,-1.0426975,0.87831384,0.48606843,0.44987655
3,0,ZINCpq00000iEPHq,0.9409496,0.95793366,0.94828135,0.94828135,0,0.93911666,0.8798304,0.33318472,0.5460532,[0.9613173  0.91365933],"[array([0.9613173 , 0.57440066], dtype=float32)
 array([0.94828135, 0.91365933], dtype=float32)]",-0.44912457,0.6754273,-0.89598924,0.80927914,-0.002259921,0.54157543
4,0,ZINCmq00000bhzoq,0.9299803,0.94179124,0.93062466,0.93062466,0,0.9298192,0.85937065,0.3776469,0.6544905,[0.9442747 0.8663908],"[array([0.9442747 , 0.48594508], dtype=float32)
 array([0.93062466, 0.8663908 ], dtype=float32)]",0.050176173,0.5591478,-0.8361184,0.88486034,0.93647075,0.2334352
5,0,ZINCpn00000FbvnD,0.95345396,0.9583353,0.9718036,0.9718036,0,0.94886655,0.925421,0.3092633,0.41591704,[0.9573785 0.9196593],"[array([0.9573785, 0.6474039], dtype=float32)
 array([0.9718036, 0.9196593], dtype=float32)]",0.30774346,0.6686568,0.2321403,0.7207052,0.38334662,0.61660844
6,0,ZINCkp00000667zY,0.95710814,0.9500614,0.97120154,0.97120154,0,0.95358473,0.9526781,0.3194456,0.40853345,[0.94816184 0.91508096],"[array([0.94816184, 0.68326974], dtype=float32)
 array([0.97120154, 0.91508096], dtype=float32)]",1.1866822,0.3708977,1.3158497,0.45147872,1.0575147,0.2903167
7,0,ZINCkw00000117Dp,0.9454093,0.9459681,0.9597048,0.9597048,0,0.9418354,0.91991514,0.3374666,0.4906566,[0.94627637 0.9118524 ],"[array([0.94627637, 0.62741566], dtype=float32)
 array([0.9597048, 0.9118524], dtype=float32)]",0.06969604,0.523418,-0.36298025,0.6556363,0.5023723,0.39119968
8,0,ZINClz000007A4bg,0.93231755,0.9388307,0.9483183,0.9483183,0,0.92831737,0.85974777,0.35894814,0.5656086,[0.93956304 0.93668586],"[array([0.93956304, 0.6079475 ], dtype=float32)
 array([0.9483183 , 0.93668586], dtype=float32)]",0.06831677,0.28995547,-0.07653943,0.29483098,0.21317297,0.28507996
9,0,ZINCoI000000JpJ4,0.9306488,0.9542542,0.9489591,0.9489591,0,0.92607117,0.836203,0.34252167,0.5745883,[0.9555286  0.85654056],"[array([0.9555286 , 0.49498928], dtype=float32)
 array([0.9489591 , 0.85654056], dtype=float32)]",-0.38626602,0.77644557,-0.74050117,0.8558756,-0.03203086,0.6970155
